Goles,Tiros Totales,xG,npxG,xAG,xA,Acciones_que_crean_tiros,Pases_progresivos,Pases_medios_completados,Pases_largos_completados,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Faltas_cometidas,Duelos_aereos_ganados,Veces_que_fue_barrido_regate,Toques_en_zona_ofensiva,Toques_en_area_rival,Pases_recibidos,Pases_progresivos_recibidos,Acarreos_ultimo_tercio,Regates_exitosos,Malos_controles,Perdida_balon,Centros,market_value_million_eur,age_years,GK,DF,MF,FW,nat_Other,nat_ar ARG,nat_be BEL,nat_br BRA,nat_ci CIV,nat_eng ENG,nat_es ESP,nat_fr FRA,nat_it ITA,nat_nl NED,nat_pt POR
1,7,0.6,0.6,0.0,0.1,5,23,166,47,16,361,13,0,1,330,0,45,3,9,16,6,15,12,321,1,1,2,5,4,1,4.0,23.08219178082192,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,25,6.4,1.5,0.30000000000000004,0.6,29,72,250,71,58,651,10,3,8,540,3,27,4,17,20,11,128,18,511,15,8,14,19,17,8,3.0,31.205479452054796,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.0,0.0,0.0,0.0,2,15,79,5,13,171,2,0,2,155,0,11,1,2,1,2,15,0,145,0,2,1,0,0,2,35.0,21.019178082191782,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5,0.30000000000000004,0.30000000000000004,0.0,0.0,4,19,170,23,16,338,13,0,2,291,0,36,0,8,10,3,12,5,272,1,0,5,3,2,2,5.0,26.7013698630137,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,5,1.4000000000000001,0.6,0.1,0.2,7,9,35,9,6,97,11,0,3,94,0,1,0,4,6,8,74,26,120,31,4,6,16,6,3,4.0,25.32054794520548,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,3,0.1,0.1,0.2,0.8,9,25,63,11,17,203,31,0,13,195,0,19,0,8,5,1,89,8,183,21,7,4,7,1,13,7.0,24.898630136986302,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,0.30000000000000004,0.30000000000000004,0.2,0.30000000000000004,13,18,63,8,14,185,52,0,11,173,3,22,0,7,11,10,74,11,160,23,4,13,19,11,11,4.0,18.958904109589042,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,8,0.4,0.4,0.1,0.1,15,35,184,34,32,472,94,0,20,467,1,31,0,15,17,11,161,13,413,49,16,8,7,5,20,3.5,32.54520547945206,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,2,0.3,0.3,0.1,0.2,14,32,259,52,33,582,26,1,4,506,0,37,2,9,24,6,35,7,471,5,5,4,6,5,4,1.5,31.372602739726027,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5,0.30000000000000004,0.30000000000000004,0.2,0.1,11,23,76,10,14,187,43,0,3,177,1,29,2,11,16,6,46,8,151,9,3,4,16,5,3,3.0,22.693150684931506,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.6,0.6,0.0,0.0,7,16,79,11,20,183,41,0,9,172,1,23,1,5,9,5,62,1,135,9,7,5,7,3,9,0.75,34.03013698630137,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0.0,0.0,0.0,0.0,3,13,82,16,11,160,15,0,0,155,0,7,0,2,8,2,7,1,130,0,2,1,2,1,0,11.0,30.134246575342466,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,8,0.1,0.1,0.6,0.6000000000000001,25,57,141,32,41,340,22,2,17,287,1,13,0,5,4,8,102,7,277,5,9,1,5,8,17,45.0,20.87945205479452,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,4,0.1,0.1,0.4,0.4,14,36,115,10,32,273,62,0,21,274,0,15,1,8,13,12,117,12,228,29,15,8,15,8,21,2.5,22.904109589041095,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2,33,3.7,3.7,3.8000000000000003,3.4,66,57,117,25,29,491,0,5,80,355,2,5,3,20,25,33,382,80,517,134,36,43,30,19,80,9.0,29.28767123287671,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,13,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.3,25,20,57,21,16,167,34,5,29,146,0,3,0,3,3,16,130,9,199,33,7,5,20,6,29,1.2,30.265753424657536,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2,13,2.3,2.3,0.30000000000000004,0.4,16,21,43,8,16,216,0,0,3,157,3,6,0,8,31,11,132,19,236,58,8,8,21,15,3,1.5,29.484931506849314,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,4,0.1,0.1,0.4,0.5,18,22,118,24,19,318,46,2,21,295,1,26,1,11,10,8,138,6,261,48,15,8,17,4,21,1.5,24.156164383561645,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,13,0.2,0.2,1.1,0.8,23,32,187,30,29,439,139,1,47,427,5,35,0,15,8,13,192,11,386,46,23,14,23,9,47,7.0,26.947945205479453,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0.0,0.0,0.0,0.0,2,0,14,2,0,46,2,0,0,36,0,0,0,4,2,4,14,0,54,10,4,0,0,0,0,4.5,24.438356164383563,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,6,0.2,0.2,0.2,0.30000000000000004,10,15,77,33,16,191,29,0,6,185,2,5,0,3,3,2,40,3,179,3,5,2,4,3,6,15.0,23.43013698630137,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,33,4.8,4.8,3.2,3.0,50,141,353,28,126,1211,26,5,31,1043,3,28,0,42,30,22,517,69,1140,138,43,25,42,23,31,25.0,30.12054794520548,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0.0,0.0,0.5,0.5,5,7,37,3,4,92,6,0,4,81,0,4,1,2,2,6,25,5,77,7,4,3,2,0,4,2.0,30.994520547945207,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,27,3.8000000000000003,3.8000000000000003,3.5,3.7,78,110,366,71,75,1143,47,3,40,982,3,25,1,33,13,29,466,79,1027,90,19,23,51,26,40,5.0,31.397260273972602,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,17,2.0,2.0,2.3,2.4,54,80,344,49,39,928,196,1,100,891,4,33,1,20,24,17,492,44,855,178,34,14,25,20,100,15.0,23.487671232876714,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,0.1,0.1,0.2,0.1,6,22,86,12,22,276,74,0,20,252,3,26,0,9,13,4,107,2,230,17,12,7,4,2,20,4.0,27.76986301369863,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,30,2.8,2.2,1.4,2.1,50,89,181,33,46,598,25,4,20,509,5,6,0,16,17,26,382,45,586,95,46,33,36,39,20,15.0,23.487671232876714,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,15,2.4,2.4,1.3,1.4,26,57,211,32,30,559,96,3,25,556,4,27,5,10,12,17,224,46,484,55,12,11,17,16,25,12.0,27.715068493150685,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0.0,0.0,0.2,0.8,6,16,131,29,25,245,31,1,2,244,1,8,0,2,1,1,30,8,218,6,1,3,2,1,2,1.2,33.47123287671233,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0.2,0.2,0.0,0.0,1,0,27,3,0,40,0,0,0,35,0,1,0,2,0,1,3,1,35,0,2,0,0,0,0,22.0,24.610958904109587,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,6,0.1,0.1,1.2000000000000002,0.7000000000000001,20,26,93,19,17,228,51,1,20,223,3,24,1,5,6,9,109,9,211,28,13,7,13,7,20,3.5,29.16986301369863,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
3,18,3.8,3.8,0.2,0.0,17,7,30,5,9,131,18,1,4,96,1,3,1,12,18,6,95,36,128,32,4,8,14,6,4,5.0,25.183561643835617,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0.0,0.0,0.0,0.0,4,3,59,7,3,102,16,0,3,92,0,14,0,3,5,2,18,1,83,3,1,3,1,1,3,7.0,20.463013698630135,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,13,0.8,0.8,0.7000000000000001,0.5,18,20,24,10,7,136,16,0,16,97,1,5,0,6,4,21,109,23,163,33,8,7,23,12,16,11.0,23.791780821917808,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3,11,2.5,1.0,0.9,0.30000000000000004,23,25,65,9,19,205,20,0,15,179,1,3,0,3,3,6,97,17,206,28,10,13,14,5,15,18.0,27.854794520547944,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,2,0.0,0.0,0.4,0.4,11,36,109,17,29,270,9,1,0,258,0,10,0,4,10,4,34,0,235,4,7,3,1,3,0,8.0,25.435616438356163,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,6,0.2,0.2,0.0,0.0,8,16,262,30,16,464,46,0,2,440,4,46,0,8,36,4,20,10,378,2,2,8,2,0,2,8.0,26.284931506849315,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0.2,0.2,0.7,0.4,14,33,121,17,32,312,19,2,3,260,1,16,0,11,13,5,63,10,205,8,6,5,9,8,3,1.8,30.216438356164385,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,43,3.3000000000000003,3.3000000000000003,1.5,1.3,48,49,117,13,33,463,16,3,19,389,2,5,0,16,5,39,329,61,522,97,33,25,50,21,19,25.0,21.63013698630137,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0.0,0.0,0.2,0.1,7,11,49,9,9,95,20,0,8,94,0,1,0,2,0,0,37,2,85,6,1,2,3,0,8,1.5,32.73150684931507,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,16,0.4,0.4,4.0,3.0,78,106,520,46,56,1404,216,4,80,1422,2,42,0,20,32,48,660,50,1334,266,78,48,46,32,80,30.0,21.572602739726026,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0.1,0.1,0.0,0.1,8,34,199,34,33,367,68,0,12,371,1,31,0,8,5,3,60,2,335,9,5,7,3,1,12,2.0,22.794520547945204,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,50,4.3,4.3,2.2,1.5,40,29,92,17,11,437,10,2,30,349,1,6,0,5,3,36,379,97,502,155,46,16,40,26,30,45.0,20.86027397260274,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
0,9,0.6,0.6,0.30000000000000004,0.6,20,26,118,21,25,291,50,1,23,271,0,15,0,3,8,12,156,19,259,44,12,18,15,7,23,15.0,20.002739726027396,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2,26,1.6,1.6,2.4,3.2,66,122,210,54,86,800,26,12,22,626,2,4,0,30,18,14,348,34,682,66,40,30,26,18,22,55.0,28.84931506849315,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,4,0.2,0.2,1.5,1.0,27,42,235,60,30,581,69,2,24,572,3,12,0,9,12,5,155,14,543,32,22,6,8,2,24,0.3,25.9013698630137,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,39,1.8,1.8,0.9,2.1,60,210,1077,261,231,2175,108,3,36,2010,12,54,6,51,42,42,414,21,1980,45,54,30,75,36,36,5.0,22.643835616438356,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0.0,0.0,0.3,0.4,6,16,161,21,15,312,10,0,0,295,0,23,0,5,14,3,19,4,274,4,4,1,4,4,0,50.0,25.89041095890411,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0.1,0.1,0.1,0.0,6,7,29,3,7,102,2,0,3,75,0,4,0,8,10,1,32,4,88,11,1,3,2,6,3,1.6,29.80821917808219,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0.0,0.0,0.0,0.0,1,2,3,0,1,11,2,0,0,11,0,0,0,0,0,1,1,0,10,1,1,0,0,0,0,2.0,22.586301369863016,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.0,0.0,0.0,0.0,0,5,58,10,4,103,12,0,2,98,0,5,0,5,6,1,6,1,86,0,0,1,0,0,2,2.8,26.542465753424658,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0.0,0.0,0.8,0.30000000000000004,16,21,75,13,9,278,28,2,36,198,0,24,0,11,17,25,162,18,258,56,30,13,21,4,36,6.0,24.586301369863016,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
0,5,0.30000000000000004,0.30000000000000004,0.0,0.0,5,10,54,9,13,125,7,0,0,119,2,4,0,2,6,2,10,7,102,0,0,1,0,0,0,7.0,30.323287671232876,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,8,0.7,0.7,1.3,1.7,28,32,116,19,12,294,117,1,52,270,1,15,1,24,10,26,247,36,274,50,20,13,28,12,52,4.0,26.22739726027397,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
4,40,4.1,3.3,6.6,7.0,88,103,209,67,53,547,88,10,103,431,8,9,1,21,15,15,406,52,542,85,48,12,21,19,103,55.0,23.816438356164383,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3,36,3.9,3.1,3.4,3.0,68,47,151,39,23,547,134,3,134,445,6,14,0,23,21,33,519,60,595,155,30,29,40,39,134,9.0,29.87123287671233,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
8,42,3.6,3.6,5.2,4.6000000000000005,72,147,291,71,81,952,23,13,79,736,4,16,1,13,7,33,561,80,930,159,64,34,40,28,79,28.0,29.041095890410958,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,14,0.6,0.6,1.3,1.2999999999999998,30,49,161,36,48,519,19,6,23,392,5,31,0,20,33,15,176,34,456,62,22,22,37,21,23,6.0,26.86027397260274,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,4,0.0,0.0,2.4,2.0,20,38,108,16,32,354,78,2,16,328,2,60,0,12,6,6,178,12,252,34,12,10,12,8,16,7.0,31.843835616438355,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0.0,0.0,0.30000000000000004,0.4,13,19,44,8,15,145,12,1,5,123,0,9,0,9,7,8,58,5,122,16,5,6,9,4,5,20.0,21.698630136986303,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,15,0.9,0.9,0.6000000000000001,0.6000000000000001,26,22,35,9,11,227,2,0,17,148,2,11,1,22,18,34,216,33,293,59,11,21,53,21,17,2.5,25.649315068493152,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
0,4,0.1,0.1,0.30000000000000004,0.1,11,24,98,8,21,269,65,0,7,282,2,24,0,10,5,7,75,6,235,15,8,8,10,5,7,6.0,21.076712328767123,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,69,15.9,14.4,3.5,2.8000000000000003,72,67,114,20,29,455,54,6,11,384,5,12,1,23,23,43,455,140,561,167,32,39,51,42,11,5.0,25.673972602739727,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
12,52,9.9,9.9,1.2,0.30000000000000004,23,22,36,4,16,217,3,1,4,139,4,18,0,16,55,22,180,74,296,50,12,14,40,25,4,25.0,29.44109589041096,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,2,0.1,0.1,0.8,0.8,19,18,72,7,13,250,32,2,16,233,3,2,0,2,8,9,142,11,248,44,10,8,10,2,16,17.0,25.81095890410959,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0,5,0.6000000000000001,0.6000000000000001,0.1,0.2,13,12,27,8,4,85,7,1,5,73,0,1,1,1,2,1,63,9,91,9,4,3,12,7,5,1.5,36.43013698630137,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,4,0.1,0.1,0.4,0.30000000000000004,9,18,68,7,12,169,38,0,8,151,1,12,1,5,8,5,59,2,141,11,8,3,5,6,8,1.2,33.364383561643834,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0.0,0.0,0.2,0.2,4,3,27,4,3,78,16,0,7,73,0,8,0,2,3,4,34,7,70,14,4,4,1,1,7,2.5,29.126027397260273,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,21,2.9,2.9,1.0,1.2,29,29,119,18,11,324,80,0,33,297,4,22,0,15,18,11,215,34,279,74,13,12,19,11,33,3.0,31.386301369863013,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0.0,0.0,0.0,0.0,2,1,5,1,1,14,3,0,1,13,0,1,0,0,1,1,6,1,11,1,0,1,0,0,1,0.9,20.791780821917808,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,0.1,0.1,0.30000000000000004,0.30000000000000004,10,30,145,25,28,330,47,1,2,315,2,14,0,8,6,3,64,4,260,8,11,5,5,9,2,9.0,24.435616438356163,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,21,1.3,1.3,1.5,1.3,32,24,98,15,7,334,34,2,28,267,0,5,0,28,10,21,252,39,343,110,22,15,25,23,28,4.5,23.47945205479452,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0.0,0.0,0.6,0.2,1,0,9,3,2,18,4,1,0,16,1,1,0,0,1,0,0,0,14,0,0,1,0,0,0,20.0,32.221917808219175,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0.0,0.0,0.0,0.0,0,1,12,7,3,33,3,0,0,31,0,0,0,2,1,0,4,1,26,0,1,1,3,1,0,1.4,28.778082191780822,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,12,1.1,1.1,0.30000000000000004,0.2,20,11,32,6,4,171,5,1,18,108,2,11,1,2,3,3,103,17,149,47,3,4,5,3,18,2.0,32.41917808219178,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,11,2.0,2.0,0.1,0.1,9,11,20,5,7,114,8,3,7,87,0,4,0,13,9,6,73,24,138,30,9,5,11,9,7,11.0,32.227397260273975,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,22,0.9,0.9,0.2,0.2,16,12,25,4,15,218,0,2,5,103,4,11,0,29,94,15,191,50,281,48,13,16,31,19,5,2.5,20.835616438356166,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2,29,2.6,2.6,3.0,2.6,63,41,138,25,17,540,48,2,23,500,1,12,1,14,10,23,368,71,532,121,36,26,24,21,23,45.0,22.87123287671233,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
2,9,1.4,1.4,0.39999999999999997,0.30000000000000004,15,36,127,19,29,356,3,1,2,315,0,28,3,18,21,1,69,14,290,5,12,10,7,4,2,50.0,23.77260273972603,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,17,2.7,2.7,1.9000000000000001,0.6000000000000001,38,32,56,11,19,315,12,1,6,223,1,9,0,36,46,18,237,47,367,77,8,14,41,19,6,5.0,24.205479452054796,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
4,44,4.5,4.5,1.0,1.2,38,45,78,22,18,324,53,3,29,303,1,3,0,14,9,19,269,72,385,89,10,14,22,22,29,30.0,25.112328767123287,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,2,0.3,0.3,1.8,1.2,15,14,27,4,8,95,12,2,5,90,2,1,1,0,1,3,48,9,103,9,6,5,5,6,5,8.0,27.912328767123288,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,4,0.4,0.4,0.0,0.0,12,30,160,16,22,404,6,2,2,362,0,14,2,12,24,6,104,12,348,20,6,20,14,12,2,8.5,23.295890410958904,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0.7,0.7,0.4,0.0,11,40,210,40,31,418,27,0,0,398,1,27,0,5,17,2,14,4,357,0,1,4,0,0,0,12.0,31.24109589041096,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,0.3,0.3,0.0,0.0,2,1,25,0,1,48,9,0,3,48,1,1,0,0,0,3,29,4,49,10,3,0,1,0,3,8.0,23.07945205479452,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,21,4.7,4.7,0.9,0.8,23,9,29,3,4,111,16,1,3,95,0,4,0,16,12,9,123,45,174,48,9,9,28,13,3,10.0,25.791780821917808,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,13,0.8,0.8,0.2,0.4,13,15,46,13,6,196,7,0,22,142,2,9,0,13,6,19,175,27,204,71,8,12,20,10,22,15.0,23.389041095890413,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,4,0.5,0.5,0.1,0.1,7,39,111,21,36,316,12,0,0,244,2,10,0,10,11,4,63,9,228,6,5,6,6,6,0,3.5,27.843835616438355,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0.0,0.0,0.9,0.7000000000000001,12,20,116,8,20,273,72,0,16,286,1,28,0,7,11,6,74,2,211,25,8,6,5,5,16,5.0,28.778082191780822,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0.0,0.0,0.3,0.1,5,15,55,15,17,142,9,1,0,142,0,2,1,2,0,3,27,0,118,2,5,1,3,3,0,28.0,23.5013698630137,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,6,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.8,12,57,172,31,53,500,15,3,9,463,1,6,2,13,8,12,145,5,467,18,13,5,11,8,9,6.0,31.742465753424657,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,6,0.5,0.5,0.0,0.0,3,4,5,2,2,48,4,0,2,40,0,4,0,2,5,1,34,13,50,14,3,2,3,2,2,2.0,30.98904109589041,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,7,0.1,0.1,0.7,0.8,29,52,231,43,41,597,75,1,25,598,1,8,4,6,4,8,188,19,546,44,23,14,19,6,25,35.0,25.257534246575343,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,26,2.5,2.5,0.6,0.5,18,22,62,13,10,270,24,2,5,184,2,8,1,10,37,12,152,49,324,59,7,11,36,20,5,15.0,25.9013698630137,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
0,19,1.7000000000000002,0.9,2.6,2.0,57,59,137,46,42,401,92,4,78,350,3,7,0,12,10,4,280,19,366,45,13,8,14,16,78,18.0,29.28219178082192,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,19,0.9,0.9,4.7,3.2,65,92,377,44,69,1014,219,3,47,1003,6,59,1,18,20,41,462,44,947,110,53,49,53,35,47,12.0,26.926027397260274,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,2,0.0,0.0,0.1,0.2,1,11,53,5,7,115,11,0,11,110,0,3,1,0,0,7,73,1,103,21,7,3,5,3,11,7.0,22.156164383561645,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0.1,0.1,1.0,0.8,11,19,102,14,12,216,71,1,25,218,0,11,1,1,4,6,101,12,196,18,8,1,6,1,25,18.0,31.09041095890411,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,31,3.0000000000000004,3.0000000000000004,2.4,1.0,37,85,395,44,88,942,36,5,0,861,6,39,1,18,28,13,137,24,787,15,5,15,31,8,0,35.0,21.03835616438356,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,29,2.3,2.3,1.7,2.0,55,69,157,19,35,643,11,9,13,515,7,13,0,28,17,26,318,38,611,70,39,28,45,30,13,15.0,22.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0,2,0.1,0.1,0.0,0.0,1,0,2,0,0,7,0,0,0,6,1,0,0,1,1,0,4,0,5,1,0,1,0,0,0,4.0,24.706849315068492,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,48,6.7,5.1,2.0,1.4000000000000001,51,43,121,23,25,423,44,3,11,348,1,13,0,17,20,25,359,90,534,136,28,26,71,56,11,20.0,21.58082191780822,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1,6,1.7000000000000002,0.9,2.0,1.0999999999999999,23,28,73,9,16,205,5,2,6,170,1,1,0,2,4,2,98,18,193,34,8,4,5,2,6,20.0,24.421917808219177,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
